,Open Day,HOUR_ENDING,LZ_HOUSTON,ACTUAL_LZ_SOUTH_HOUSTON
507,06/10/2024,7,48.46,
508,06/10/2024,8,47.81,
509,06/10/2024,8,41.27,
510,06/10/2024,8,29.35,
511,06/10/2024,8,30.19,
512,06/10/2024,9,26.23,
513,06/10/2024,9,22.36,
514,06/10/2024,9,21.48,
515,06/10/2024,9,21.33,
516,06/10/2024,10,21.49,
517,06/10/2024,10,22.25,
518,06/10/2024,10,25.67,
519,06/10/2024,10,22.99,
520,06/10/2024,11,28.48,
521,06/10/2024,11,26.67,
522,06/10/2024,11,28.73,
523,06/10/2024,11,25.36,
524,06/10/2024,12,23.35,
525,06/10/2024,12,24.08,
526,06/10/2024,12,29.35,
527,06/10/2024,12,29.13,
528,06/10/2024,13,57.29,
529,06/10/2024,13,71.3,
530,06/10/2024,13,74.52,
531,06/10/2024,13,55.98,
532,06/10/2024,14,38.35,
533,06/10/2024,14,55.07,
534,06/10/2024,14,76.01,
535,06/10/2024,14,65.45,
536,06/10/2024,15,78.62,
537,06/10/2024,15,111.71,
538,06/10/2024,15,120.58,
539,06/10/2024,15,113.09,
540,06/10/2024,16,116.87,
541,06/10/2024,16,193.1,
542,06/10/2024,16,152.72,
543,06/10/2024,16,106.86,
544,06/10/2024,17,111.4,
545,06/10/2024,17,167.94,
546,06/10/2024,17,153.25,
547,06/10/2024,17,155.75,
548,06/10/2024,18,106.68,
549,06/10/2024,18,116.33,
550,06/10/2024,18,148.28,
551,06/10/2024,18,89.21,
552,06/10/2024,19,84.95,
553,06/10/2024,19,128.34,
554,06/10/2024,19,128.55,
555,06/10/2024,19,77.0,
556,06/10/2024,20,65.24,
557,06/10/2024,20,92.42,
558,06/10/2024,20,89.41,
559,06/10/2024,20,191.02,
560,06/10/2024,21,86.39,
561,06/10/2024,21,82.18,
562,06/10/2024,21,71.88,
563,06/10/2024,21,55.75,
564,06/10/2024,22,72.27,
565,06/10/2024,22,44.22,
566,06/10/2024,22,35.94,
567,06/10/2024,22,32.97,
568,06/10/2024,23,32.91,
569,06/10/2024,23,42.54,
570,06/10/2024,23,29.79,
571,06/10/2024,23,28.25,
572,06/10/2024,24,34.98,
573,06/10/2024,24,27.84,
574,06/10/2024,24,28.05,
575,06/10/2024,24,37.27,
576,06/11/2024,1,43.11,
577,06/11/2024,1,34.55,
578,06/11/2024,1,30.7,
579,06/11/2024,1,29.6,
580,06/11/2024,2,29.02,
581,06/11/2024,2,29.4,
582,06/11/2024,2,29.64,
583,06/11/2024,2,28.9,
584,06/11/2024,3,29.47,
585,06/11/2024,3,28.93,
586,06/11/2024,3,28.18,
587,06/11/2024,3,24.87,
588,06/11/2024,4,23.78,
589,06/11/2024,4,24.36,
590,06/11/2024,4,25.19,
591,06/11/2024,4,25.38,
592,06/11/2024,5,24.81,
593,06/11/2024,5,26.21,
594,06/11/2024,5,25.59,
595,06/11/2024,5,25.09,
596,06/11/2024,6,24.7,
597,06/11/2024,6,25.15,
598,06/11/2024,6,24.17,
599,06/11/2024,6,24.46,
600,06/11/2024,7,26.6,
601,06/11/2024,7,29.25,
602,06/11/2024,7,27.05,
603,06/11/2024,7,25.38,
604,06/11/2024,8,31.76,
605,06/11/2024,8,29.88,
606,06/11/2024,8,25.83,
607,06/11/2024,8,22.05,
608,06/11/2024,9,23.88,
609,06/11/2024,9,22.93,
610,06/11/2024,9,22.03,
611,06/11/2024,9,22.55,
612,06/11/2024,10,24.71,
613,06/11/2024,10,23.67,
614,06/11/2024,10,23.3,
615,06/11/2024,10,32.07,
616,06/11/2024,11,39.79,
617,06/11/2024,11,33.8,
618,06/11/2024,11,33.97,
619,06/11/2024,11,66.51,
620,06/11/2024,12,49.29,
621,06/11/2024,12,49.91,
622,06/11/2024,12,60.71,
623,06/11/2024,12,75.99,
624,06/11/2024,13,76.32,
625,06/11/2024,13,72.24,
626,06/11/2024,13,74.55,
627,06/11/2024,13,79.52,
628,06/11/2024,14,66.8,
629,06/11/2024,14,69.7,
630,06/11/2024,14,112.42,
631,06/11/2024,14,178.81,
632,06/11/2024,15,91.17,
633,06/11/2024,15,124.41,
634,06/11/2024,15,143.75,
635,06/11/2024,15,142.08,
636,06/11/2024,16,90.87,
637,06/11/2024,16,84.45,
638,06/11/2024,16,68.86,
639,06/11/2024,16,62.13,
640,06/11/2024,17,56.94,
641,06/11/2024,17,52.93,
642,06/11/2024,17,40.71,
643,06/11/2024,17,34.86,
644,06/11/2024,18,28.97,
645,06/11/2024,18,32.22,
646,06/11/2024,18,27.22,
647,06/11/2024,18,30.2,
648,06/11/2024,19,28.0,
649,06/11/2024,19,27.93,
650,06/11/2024,19,25.26,
651,06/11/2024,19,28.38,
652,06/11/2024,20,29.22,
653,06/11/2024,20,30.26,
654,06/11/2024,20,30.56,
655,06/11/2024,20,31.98,
656,06/11/2024,21,42.42,
657,06/11/2024,21,53.6,
658,06/11/2024,21,65.89,
659,06/11/2024,21,47.49,
660,06/11/2024,22,64.68,
661,06/11/2024,22,40.45,
662,06/11/2024,22,38.06,
663,06/11/2024,22,33.05,
664,06/11/2024,23,47.78,
665,06/11/2024,23,38.91,
666,06/11/2024,23,37.82,
667,06/11/2024,23,30.68,
668,06/11/2024,24,32.62,
669,06/11/2024,24,29.09,
670,06/11/2024,24,29.99,
671,06/11/2024,24,32.43,
672,06/12/2024,1,46.5,
673,06/12/2024,1,51.69,
674,06/12/2024,1,39.54,
675,06/12/2024,1,34.6,
676,06/12/2024,2,32.81,
677,06/12/2024,2,28.69,
678,06/12/2024,2,31.47,
679,06/12/2024,2,29.21,
680,06/12/2024,3,30.49,
681,06/12/2024,3,27.17,
682,06/12/2024,3,28.4,
683,06/12/2024,3,27.57,
684,06/12/2024,4,27.76,
685,06/12/2024,4,26.99,
686,06/12/2024,4,27.34,
687,06/12/2024,4,28.73,
688,06/12/2024,5,32.55,
689,06/12/2024,5,31.63,
690,06/12/2024,5,34.9,
691,06/12/2024,5,37.46,
692,06/12/2024,6,60.22,
693,06/12/2024,6,49.06,
694,06/12/2024,6,50.97,
695,06/12/2024,6,47.25,
696,06/12/2024,7,58.44,
697,06/12/2024,7,51.78,
698,06/12/2024,7,42.13,
699,06/12/2024,7,33.6,
700,06/12/2024,8,30.82,
701,06/12/2024,8,26.74,
702,06/12/2024,8,24.89,
703,06/12/2024,8,24.09,
704,06/12/2024,9,24.59,
705,06/12/2024,9,24.16,
706,06/12/2024,9,23.26,
707,06/12/2024,9,23.08,
708,06/12/2024,10,23.81,
709,06/12/2024,10,24.7,
710,06/12/2024,10,24.51,
711,06/12/2024,10,26.39,
712,06/12/2024,11,30.16,
713,06/12/2024,11,38.67,
714,06/12/2024,11,43.65,
715,06/12/2024,11,64.2,
716,06/12/2024,12,33.62,
717,06/12/2024,12,36.96,
718,06/12/2024,12,33.68,
719,06/12/2024,12,74.05,
720,06/12/2024,13,75.66,
721,06/12/2024,13,39.56,
722,06/12/2024,13,63.59,
723,06/12/2024,13,74.02,
724,06/12/2024,14,70.22,
725,06/12/2024,14,64.08,
726,06/12/2024,14,74.9,
727,06/12/2024,14,71.78,
728,06/12/2024,15,72.93,
729,06/12/2024,15,82.32,
730,06/12/2024,15,88.44,
731,06/12/2024,15,106.69,
732,06/12/2024,16,75.67,
733,06/12/2024,16,60.34,
734,06/12/2024,16,53.93,
735,06/12/2024,16,70.7,
736,06/12/2024,17,62.63,
737,06/12/2024,17,53.19,
738,06/12/2024,17,60.24,
739,06/12/2024,17,45.97,
740,06/12/2024,18,32.72,
741,06/12/2024,18,55.82,
742,06/12/2024,18,40.61,
743,06/12/2024,18,35.66,
744,06/12/2024,19,38.72,
745,06/12/2024,19,37.49,
746,06/12/2024,19,36.12,
747,06/12/2024,19,48.99,
748,06/12/2024,20,62.79,
749,06/12/2024,20,87.82,
750,06/12/2024,20,83.3,
751,06/12/2024,20,145.46,
752,06/12/2024,21,135.88,
753,06/12/2024,21,91.74,
754,06/12/2024,21,85.41,
755,06/12/2024,21,71.56,
756,06/12/2024,22,55.41,
757,06/12/2024,22,42.5,
758,06/12/2024,22,34.79,
759,06/12/2024,22,30.64,
760,06/12/2024,23,28.84,
761,06/12/2024,23,30.63,
762,06/12/2024,23,26.24,
763,06/12/2024,23,27.38,
764,06/12/2024,24,27.21,
765,06/12/2024,24,24.34,
766,06/12/2024,24,24.18,
767,06/12/2024,24,23.56,
768,06/13/2024,1,21.43,
769,06/13/2024,1,20.85,
770,06/13/2024,1,19.45,
771,06/13/2024,1,18.5,
772,06/13/2024,2,18.03,
773,06/13/2024,2,17.55,
774,06/13/2024,2,17.25,
775,06/13/2024,2,16.8,
776,06/13/2024,3,16.85,
777,06/13/2024,3,16.69,
778,06/13/2024,3,16.54,
779,06/13/2024,3,16.45,
780,06/13/2024,4,16.46,
781,06/13/2024,4,16.6,
782,06/13/2024,4,16.66,
783,06/13/2024,4,16.52,
784,06/13/2024,5,16.71,
785,06/13/2024,5,16.95,
786,06/13/2024,5,17.07,
787,06/13/2024,5,17.22,
788,06/13/2024,6,17.95,
789,06/13/2024,6,18.31,
790,06/13/2024,6,18.81,
791,06/13/2024,6,19.73,
792,06/13/2024,7,20.48,
793,06/13/2024,7,20.71,
794,06/13/2024,7,20.61,
795,06/13/2024,7,20.56,
796,06/13/2024,8,20.47,
797,06/13/2024,8,18.74,
798,06/13/2024,8,17.34,
799,06/13/2024,8,16.84,
800,06/13/2024,9,15.81,
801,06/13/2024,9,14.56,
